report_date,year,quarter,归母净利润,营业总收入,营业成本,净利润,扣非净利润,股东权益合计(净资产),经营现金流量净额,基本每股收益,每股净资产,每股现金流,净资产收益率(ROE),总资产报酬率(ROA),毛利率,销售净利率,期间费用率,资产负债率,稀释每股收益,摊薄每股收益_最新股数,摊薄每股净资产_期末股数,调整每股净资产_期末股数,每股净资产_最新股数,每股经营现金流,每股现金流量净额,每股未分配利润,每股资本公积金,每股盈余公积金,每股留存收益,每股营业收入,每股营业总收入,每股息税前利润,摊薄净资产收益率,净资产收益率_平均,净资产收益率_平均_扣除非经常损益,摊薄净资产收益率_扣除非经常损益,息税前利润率,总资产报酬率,总资本回报率,投入资本回报率,息前税后总资产报酬率_平均,成本费用利润率,营业利润率,总资产净利率_平均,总资产净利率_平均(含少数股东损益),营业总收入增长率,归属母公司净利润增长率,经营活动净现金/销售收入,经营性现金净流量/营业总收入,成本费用率,销售成本率,经营活动净现金/归属母公司的净利润,所得税/利润总额,流动比率,速动比率,保守速动比率,权益乘数,权益乘数(含少数股权的净资产),产权比率,现金比率,应收账款周转率,应收账款周转天数,存货周转率,存货周转天数,总资产周转率,总资产周转天数,流动资产周转率,流动资产周转天数,应付账款周转率,每股企业自由现金流量,每股股东自由现金流量
20250930,2025,3,64626746712.18,130903889634.88,41426154052.85,66898804746.17,64680616431.2,265705024872.85,38196802155.27,51.53,205.283142,30.502044,24.64,29.621501,91.293383,52.080088,7.364841,12.808752,51.53,51.607668,205.283142,193.492986,205.283142,30.502044,-8.35892,168.394174,1.097977,38.732682,207.126856,102.576669,104.533261,71.398288,25.13975,26.368795,26.390775,25.160705,68.301981,29.621501,32.89477,25.601791,22.165718,433.064234,68.362899,21.41083,22.163562,6.320001,6.245844,0.297358,0.291792,16.071458,8.706616,0.591037,25.172005,6.619318,5.178297,1.470153,1.231563,1.146904,15.183866,1.335101,5772.431071,0.046774,0.202971,1330.23311,0.433684,622.572587,0.515051,524.219471,4.007911,,
20250630,2025,2,45402962298.1,91093762553.97,28353948643.16,46986681449.24,45390247623.82,249135586262.75003,13119061031.33,36.18,189.975286,10.443467,17.89,21.238876,91.299309,52.564068,7.319019,14.754851,36.18,36.256521,189.975286,178.30908,190.571119,10.443467,-21.560956,152.564528,1.094544,38.611582,191.17611,71.158661,72.51546,49.978092,19.025192,19.248635,19.243245,19.019864,68.920602,21.238876,24.325583,17.593471,15.896773,438.396459,68.905896,15.359533,15.895295,9.158168,8.891466,0.146763,0.144017,16.019709,8.70069,0.288947,25.154224,5.729739,4.446638,1.272058,1.253204,1.173087,18.069486,1.205449,3140.025335,0.057324,0.142295,1264.97754,0.308164,584.103803,0.366423,491.235131,2.5996,31.094765,31.094765
20250331,2025,1,26847474238.76,51443450583.77,14433297495.64,27774636011.61,26849883702.9,268190335170.39,8809195646.38,21.38,205.66653,7.012586,10.92,12.116172,91.973609,54.889545,6.243127,14.143018,21.38,21.439042,205.66653,194.367887,206.311576,7.012586,5.236689,166.880478,1.094544,37.124562,204.00504,40.281043,40.951712,29.480933,10.391584,10.925513,10.926494,10.392517,71.989502,12.116172,13.964965,10.124727,9.087669,512.864581,71.994778,8.78354,9.086874,10.667398,11.561111,0.174091,0.17124,14.269518,8.02639,0.32812,24.997175,6.074894,4.825789,1.238697,1.243862,1.164727,17.099679,1.189857,2961.414588,0.03039,0.074424,1209.273001,0.168304,534.744407,0.198533,453.323061,1.244327,,
20241231,2024,4,86228146421.62,174144069958.24997,54523971452.57,89334728025.9,86240905977.42,242011315120.6,92463692168.43,68.64,185.564713,73.605997,36.02,41.862768,91.931216,52.273359,8.01824,19.044755,68.64,68.85746,185.564713,173.925748,186.146713,73.605997,15.610519,145.508466,1.094544,37.124562,182.633028,136.044779,138.627905,95.250169,36.990962,38.428268,38.433955,36.996435,68.709231,41.862768,49.37593,35.588809,31.260422,435.166662,68.729632,30.168465,31.255358,15.663979,15.379966,0.541042,0.53096,16.087024,8.068783,1.072314,25.329497,4.454078,3.492522,1.089031,1.273789,1.23525,24.423767,1.053583,4307.607173,0.083573,0.273659,1315.504393,0.609274,590.866879,0.730318,492.935847,6.567004,54.072659,54.072659
20240930,2024,3,60827552118.51,123122542625.45,39182396617.66,63031462239.55,60778641454.76,247688164238.17,44421386217.45,48.42,189.229319,35.361776,26.09,30.048457,91.531375,52.188674,7.427215,13.628503,48.42,48.573823,189.229319,177.374489,189.822813,35.361776,3.842225,153.56147,1.094544,32.733339,186.294809,96.144199,98.012066,66.913116,25.589033,26.833039,26.811463,25.568457,68.270284,30.048457,35.132951,25.427126,22.535129,437.791514,68.222058,21.74469,22.532546,16.907838,15.037639,0.367799,0.36079,15.89584,8.468624,0.730283,25.006187,6.156911,4.911559,1.586739,1.234004,1.157789,16.441314,1.556804,3426.024765,0.078808,0.216101,1249.414556,0.440139,613.441698,0.531167,508.314168,4.183531,,
20240630,2024,2,41695610983.37,83451164646.53,25936116155.36,43176914345.12,41670097819.99,228044809649.28,36621833812.63,33.19,173.997764,29.152919,17.63,20.867297,91.760284,52.699132,6.897228,18.324183,33.19,33.296017,173.997764,162.842119,174.543485,29.152919,-4.054588,138.331431,1.094544,32.733339,171.064771,65.221398,66.431548,45.839938,19.076058,19.203762,19.192012,19.064386,69.003266,20.867297,24.478946,17.72723,15.64853,464.271859,68.963629,15.109653,15.646447,17.558035,15.884185,0.446983,0.438841,15.136943,8.239715,0.878313,25.011804,4.571369,3.631212,1.200664,1.270959,1.224352,23.407209,1.194108,2654.408421,0.067811,0.143328,1255.858596,0.30241,595.217851,0.36487,493.326371,2.531823,29.965878,29.965878
20240331,2024,1,24065262374.15,46484738134.23,13344131153.66,24882347326.74,24051471185.69,248536768550.53,9187422415.09,19.16,190.839202,7.313674,10.57,11.886318,92.613316,54.357326,5.994931,12.954324,19.16,19.217307,190.839202,180.191794,191.437744,7.313674,6.693595,156.860998,1.094544,31.045081,187.906079,36.439736,37.004314,26.409975,10.038411,10.568837,10.56278,10.032658,71.36999,11.886318,13.92562,10.102379,8.915706,541.566706,71.329516,8.622077,8.914822,18.043581,15.726848,0.200706,0.197643,13.381614,7.386683,0.381771,24.993719,6.480986,5.201803,2.135691,1.225787,1.148822,15.428815,2.129853,685.785434,0.131236,0.072491,1241.517487,0.166545,540.394334,0.200993,447.775527,1.067557,,
20231231,2023,4,74734071550.75,150560330316.44998,46960889468.54,77521476277.8,74752564425.52,223656469294.82,66593247721.09,59.49,171.683608,53.011753,34.19,39.330456,91.964937,52.488038,8.629941,17.984324,59.49,59.67887,171.683608,160.860289,172.222072,53.011753,-1.606872,137.703774,1.094544,31.045081,168.748855,117.571934,119.853999,82.530934,34.652277,36.177815,36.186767,34.660852,68.859558,39.330456,47.248434,34.066772,29.413516,421.167446,68.881793,28.35129,29.408727,18.036579,19.159899,0.450887,0.442302,16.665003,8.035062,0.891069,25.217473,4.623892,3.670351,1.428101,1.276055,1.219279,22.740073,1.426576,3632.8274,0.099096,0.278379,1293.196808,0.571169,630.286127,0.681601,528.167754,7.081057,54.032196,54.032196
20230930,2023,3,52876217064.12,105315900448.1,32235692213.48,54827171371.97,52815640756.86,225018799759.41,50002007018.66,42.09,173.387204,39.804246,24.82,28.354479,91.707471,53.091938,7.325601,14.140007,42.09,42.224287,173.387204,162.484175,173.931011,39.804246,5.541706,143.390661,1.094544,27.064184,170.454845,82.207081,83.837036,58.300051,24.276456,25.464801,25.435628,24.248645,69.539733,28.354479,33.400529,24.120865,21.230854,454.017999,69.478077,20.471755,21.227094,17.296728,19.091073,0.484194,0.474781,15.61813,8.292528,0.945642,25.126788,5.958796,4.84079,2.026015,1.243899,1.164686,17.013846,2.022436,1357.442736,0.198903,0.214585,1258.239323,0.407745,662.178536,0.484117,557.716159,4.705103,,
20230630,2023,2,35980415090.77,70987206095.38,21179301470.55,37331971189.28,35947449205.45,209247480091.96,30387178194.96,28.64,159.93987,24.189803,16.7,20.128898,91.798081,53.656376,6.925114,13.392472,28.64,28.732149,159.93987,149.677094,160.441501,24.189803,-2.14022,129.940708,1.094544,27.064184,157.004892,55.386197,56.509576,39.74712,17.908177,18.062631,18.046082,17.89177,70.336963,20.128898,23.696113,17.079793,15.052549,474.346733,70.282739,14.505158,15.050025,19.41959,20.764335,0.436747,0.428065,15.127032,8.201918,0.844547,25.22237,6.35364,5.074716,2.214146,1.245255,1.154634,16.104623,2.213127,2600.561301,0.069215,0.143214,1256.859118,0.286178,628.978946,0.338321,532.039035,3.530464,26.526746,26.526746
20230331,2023,1,20794882754.55,39379301807.75,10715598396.54,21524725630.16,20778475545.61,226463574202.63,5244796293.93,16.55,173.759014,4.175135,10.0,11.19279,92.595575,55.539348,6.118648,12.356171,16.55,16.605747,173.759014,163.995145,174.303987,4.175135,4.330885,144.939662,1.094544,25.887741,170.827403,30.851679,31.34801,22.84946,9.526888,10.003413,9.99552,9.519372,72.889667,11.19279,13.124892,9.510723,8.394765,547.610611,72.845087,8.10888,8.393479,18.658244,20.585216,0.135329,0.133186,13.523072,7.404424,0.252215,25.001332,6.942731,5.668325,2.307106,1.233636,1.140981,14.62701,2.305248,976.862102,0.092131,0.072762,1236.903561,0.153557,586.097806,0.181132,496.873513,1.623463,,
20221231,2022,4,62717467870.12,127553959355.97,39748309616.85,65376039957.88,62791872697.72,204938081263.86,36698595830.03,49.93,157.225774,29.214026,30.26,34.428982,91.866654,52.679467,8.906776,19.420971,49.93,50.082197,157.225774,148.565434,157.718893,29.214026,-20.905822,128.40492,1.094544,25.889855,154.294775,98.79005,101.539709,69.824603,31.754088,32.407743,32.44672,31.792279,68.765809,34.428982,41.518413,29.691963,25.665525,414.727713,68.895957,24.617225,25.660805,16.525647,19.55065,0.295718,0.28771,17.040121,8.133345,0.585151,25.45721,4.414725,3.623451,1.190256,1.316466,1.241017,25.011872,1.18768,5927.257498,0.060736,0.279524,1287.899489,0.50067,719.036402,0.583267,617.212382,7.027054,45.373229,45.373229
20220930,2022,3,44399815583.54,89785880318.36,27890886105.75,46313993773.41,44393231516.91,213446576009.85,9405337008.75,35.34,164.551135,7.487146,21.91,24.625988,91.874375,53.13661,8.127673,13.848391,35.34,35.455459,164.551135,156.064575,165.067229,7.487146,-18.413636,136.96673,1.094544,24.657038,161.623768,69.384162,71.474317,49.295693,21.479405,22.410106,22.406783,21.47622,68.969799,24.625988,28.988294,20.78845,18.421316,437.064942,69.010346,17.65663,18.417848,16.524599,19.142403,0.107908,0.104752,16.253297,8.125624,0.211832,25.199175,6.194166,5.15941,1.714402,1.269217,1.160744,16.598399,1.710106,,,0.20655,1307.184032,0.357054,756.186728,0.41628,648.601813,5.053963,,
