日期,品种,标的,多空,数量,可用数量,收盘价/结算价,市值/价值,盈亏/逐笔浮盈,开仓均价,持仓均价（期货）,保证金,当日盈亏,今手数,盈亏占比,仓位占比
2020-09-01,,Cash,,,,,900000,,,,,,,,0
2020-09-02,,Cash,,,,,900000,,,,,,,,0
2020-09-03,,Cash,,,,,900000,,,,,,,,0
2020-09-04,,Cash,,,,,900000,,,,,,,,0
2020-09-07,,Cash,,,,,900000,,,,,,,,0
2020-09-08,基金,豆粕ETF华夏(159985.XSHE),多,87900股,87900股,1.049,92207.1,-87.9,1.05,-,0,-87.9,87900股,-0.1%,901714.48,10.23%
2020-09-08,基金,10年地债(511270.XSHG),多,4400股,4400股,104.135,458194,39.6,104.126,-,0,39.6,4400股,0.01%,901714.48,50.81%
2020-09-08,基金,纳指ETF(513100.XSHG),多,14400股,14400股,4.724,68025.6,1641.6,4.61,-,0,1641.6,14400股,2.47%,901714.48,7.54%
2020-09-08,基金,黄金ETF(518880.XSHG),多,20000股,20000股,4.066,81320,200,4.056,-,0,200,20000股,0.25%,901714.48,9.02%
2020-09-08,股票,长江电力(600900.XSHG),多,4000股,0股,20,80000,-1080,20.27,-,0,-1080,4000股,-1.33%,901714.48,8.87%
2020-09-08,股票,农业银行(601288.XSHG),多,36600股,0股,3.18,116388,1098,3.15,-,0,1098,36600股,0.95%,901714.48,12.91%
2020-09-08,,Cash,,,,,5579.78,,,,,,,,0
2020-09-09,基金,豆粕ETF华夏(159985.XSHE),多,87900股,87900股,1.04,91416,-879,1.05,-,0,-791.1,0股,-0.95%,896584.18,10.2%
2020-09-09,基金,10年地债(511270.XSHG),多,4400股,4400股,104.024,457705.6,-448.8,104.126,-,0,-488.4,0股,-0.1%,896584.18,51.05%
2020-09-09,基金,纳指ETF(513100.XSHG),多,14400股,14400股,4.482,64540.8,-1843.2,4.61,-,0,-3484.8,0股,-2.78%,896584.18,7.2%
2020-09-09,基金,黄金ETF(518880.XSHG),多,20000股,20000股,4.068,81360,240,4.056,-,0,40,0股,0.3%,896584.18,9.07%
2020-09-09,股票,长江电力(600900.XSHG),多,4000股,4000股,19.99,79960,-1120,20.27,-,0,-40,0股,-1.38%,896584.18,8.92%
2020-09-09,股票,农业银行(601288.XSHG),多,36600股,36600股,3.17,116022,732,3.15,-,0,-366,0股,0.63%,896584.18,12.94%
2020-09-09,,Cash,,,,,5579.78,,,,,,,,0
