时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出,超额收益(%)
2020-07-01 16:00:00,1.36,0.39,385.93,0,97673.6,0,-0.96
2020-07-02 16:00:00,1.37,0.36,0,-28.4,0,0,-1
2020-07-03 16:00:00,1.75,0.55,186.8,0,0,0,-1.18
2020-07-06 16:00:00,3.69,1.88,1313.7,0,0,0,-1.75
2020-07-07 16:00:00,3.5,1.78,0,-95.5,0,0,-1.66
2020-07-08 16:00:00,3.14,1.44,0,-336.5,0,0,-1.65
2020-07-09 16:00:00,2.84,1.38,0,-55.2,0,0,-1.42
2020-07-10 16:00:00,2.08,0.86,0,-515.14,0,0,-1.2
2020-07-13 16:00:00,2.55,1.49,618.5,0,0,0,-1.03
2020-07-14 16:00:00,2.2,1.12,0,-369.4,0,0,-1.06
2020-07-15 16:00:00,2.69,1.64,520.9,0,0,0,-1.02
2020-07-16 16:00:00,1.53,0.48,0,-1154.5,0,0,-1.03
2020-07-17 16:00:00,1.96,0.88,399.9,0,0,0,-1.06
2020-07-20 16:00:00,2.39,1.13,243.7,0,0,0,-1.23
2020-07-21 16:00:00,3.15,2.24,1103.6,0,0,0,-0.88
2020-07-22 16:00:00,3.42,2.44,193.6,0,0,0,-0.95
2020-07-23 16:00:00,3.66,2.77,327.9,0,0,0,-0.86
2020-07-24 16:00:00,2.83,1.9,0,-863.5,0,0,-0.9
2020-07-27 16:00:00,3.8,2.81,910,0,0,0,-0.95
2020-07-28 16:00:00,3.48,2.48,0,-333.7,0,0,-0.97
2020-07-29 16:00:00,3.61,2.51,33.8,0,0,0,-1.06
2020-07-30 16:00:00,2.91,1.93,0,-580.4,0,0,-0.95
2020-07-31 16:00:00,3.57,2.72,786.6,0,0,0,-0.82
2020-08-03 16:00:00,3.55,2.67,0,-49.8,7106,-5799.2,-0.85
2020-08-04 16:00:00,3.96,3.18,507.4,0,0,0,-0.75
2020-08-05 16:00:00,3.9,3.07,0,-113.4,0,0,-0.8
2020-08-06 16:00:00,3.87,2.98,0,-84.3,0,0,-0.86
2020-08-07 16:00:00,4.08,3.32,333.9,0,0,0,-0.73
2020-08-10 16:00:00,3.79,3.05,0,-270.5,0,0,-0.71
2020-08-11 16:00:00,3.24,2.58,0,-457.4,0,0,-0.64
2020-08-12 16:00:00,1.81,1.38,0,-1195.4,0,0,-0.42
2020-08-13 16:00:00,2.81,2.5,1116.1,0,0,0,-0.3
2020-08-14 16:00:00,3.34,2.92,407.2,0,0,0,-0.41
2020-08-17 16:00:00,4.12,3.6,677.7,0,0,0,-0.5
2020-08-18 16:00:00,4.29,3.72,122.6,0,0,0,-0.55
2020-08-19 16:00:00,4.48,4.04,313,0,0,0,-0.42
2020-08-20 16:00:00,4.42,3.99,0,-51.9,0,0,-0.41
2020-08-21 16:00:00,4.88,4.69,696.5,0,0,0,-0.18
2020-08-24 16:00:00,5.43,5.75,1048.5,0,0,0,0.3
2020-08-25 16:00:00,6.39,7.22,1459.2,0,0,0,0.78
2020-08-26 16:00:00,6.26,6.86,0,-363.5,0,0,0.56
2020-08-27 16:00:00,7.37,8.37,1499.5,0,0,0,0.93
2020-08-28 16:00:00,8.34,9.53,1144.5,0,0,0,1.1
2020-08-31 16:00:00,10.37,12.09,2538.4,0,0,0,1.56
2020-09-01 16:00:00,10.25,12.53,430.2,0,14324.6,-14245.2,2.07
2020-09-02 16:00:00,11.1,13.24,709.8,0,0,0,1.93
2020-09-03 16:00:00,11.47,13.52,275.1,0,0,0,1.84
2020-09-04 16:00:00,9.44,11.63,0,-1871.4,0,0,2
2020-09-07 16:00:00,7.55,9.84,0,-1771,0,0,2.13
2020-09-08 16:00:00,9.04,11.31,1450.3,0,0,0,2.08
2020-09-09 16:00:00,7.5,9.85,0,-1438.1,0,0,2.19
2020-09-10 16:00:00,8.51,10.8,933.6,0,0,0,2.11
2020-09-11 16:00:00,8.8,11.1,298.6,0,0,0,2.11
2020-09-14 16:00:00,10.42,12.63,1515.9,0,0,0,2
2020-09-15 16:00:00,11.05,13.24,599.2,0,0,0,1.97
2020-09-16 16:00:00,10.59,12.8,0,-432.3,0,0,2
2020-09-17 16:00:00,9.23,11.51,0,-1276,0,0,2.09
2020-09-18 16:00:00,11.32,13.55,2023.1,0,0,0,2
2020-09-21 16:00:00,10.15,12.42,0,-1124.6,0,0,2.06
2020-09-22 16:00:00,8.57,10.84,0,-1557.9,0,0,2.09
2020-09-23 16:00:00,8.4,10.6,0,-243.7,0,0,2.03
2020-09-24 16:00:00,6.53,8.82,0,-1757.5,0,0,2.15
2020-09-25 16:00:00,5.89,8.26,0,-555.7,0,0,2.24
2020-09-28 16:00:00,6.9,9.24,967.6,0,0,0,2.19
2020-09-29 16:00:00,6.96,9.33,91.7,0,0,0,2.22
2020-09-30 16:00:00,7.24,9.6,268.3,0,0,0,2.2
2020-10-09 16:00:00,8.78,11.09,1471.6,0,7477.4,-7889.6,2.12
2020-10-12 16:00:00,9.81,12.09,988.6,0,0,0,2.08
2020-10-13 16:00:00,9.54,11.96,0,-125,0,0,2.21
2020-10-14 16:00:00,8.96,11.38,0,-575,0,0,2.22
2020-10-15 16:00:00,8.27,10.58,0,-792.6,0,0,2.13
2020-10-16 16:00:00,8.6,10.83,243.4,0,0,0,2.05
2020-10-19 16:00:00,8.9,11.2,367.1,0,0,0,2.11
2020-10-20 16:00:00,8.54,10.79,0,-404.5,0,0,2.07
2020-10-21 16:00:00,8.96,11.22,429.5,0,0,0,2.07
2020-10-22 16:00:00,8.72,10.95,0,-273.2,0,0,2.05
2020-10-23 16:00:00,7.93,10.2,0,-738.3,0,0,2.1
2020-10-26 16:00:00,7.87,10.04,0,-162.2,0,0,2.01
2020-10-27 16:00:00,7.81,9.94,0,-90.1,0,0,1.98
2020-10-28 16:00:00,7.37,9.48,0,-465,0,0,1.97
2020-10-29 16:00:00,6.15,8.25,0,-1217.8,0,0,1.98
2020-10-30 16:00:00,5.73,7.79,0,-450.8,0,0,1.95
2020-11-02 16:00:00,6.73,8.82,1024.8,0,4424.4,-3464,1.96
2020-11-03 16:00:00,8.14,10.46,1618.9,0,0,0,2.15
2020-11-04 16:00:00,9.43,12.06,1580.7,0,0,0,2.4
2020-11-05 16:00:00,10.48,13.06,993.9,0,0,0,2.34
2020-11-06 16:00:00,9.91,12.22,0,-836.6,0,0,2.1
2020-11-09 16:00:00,10.31,12.84,615.1,0,0,0,2.29
2020-11-10 16:00:00,9.02,11.38,0,-1443.7,0,0,2.16
2020-11-11 16:00:00,9.85,12.03,643.2,0,0,0,1.98
2020-11-12 16:00:00,9.61,11.83,0,-193.7,0,0,2.03
