时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出,超额收益(%)
2020-09-01 16:00:00,0.01,0,0,0,0,0,-0.01
2020-09-02 16:00:00,0.03,0,0,0,0,0,-0.03
2020-09-03 16:00:00,0.03,0,0,0,0,0,-0.03
2020-09-04 16:00:00,0.03,0,0,0,0,0,-0.03
2020-09-07 16:00:00,0.05,0,0,0,0,0,-0.05
2020-09-08 16:00:00,0.05,0.19,1714.48,0,894323.4,0,0.14
2020-09-09 16:00:00,0.05,-0.38,0,-5130.3,0,0,-0.43
2020-09-10 16:00:00,0.07,0.01,3512.5,0,0,0,-0.06
2020-09-11 16:00:00,0.08,0.17,1409.8,0,0,0,0.09
2020-09-14 16:00:00,0.09,0.64,4290.2,0,0,0,0.55
2020-09-15 16:00:00,0.09,0.79,1282.9,0,0,0,0.7
2020-09-16 16:00:00,0.09,0.62,0,-1505.6,0,0,0.53
2020-09-17 16:00:00,0.1,0.09,0,-4725.8,0,0,-0.01
2020-09-18 16:00:00,0.1,0.97,7911.6,0,0,0,0.87
2020-09-21 16:00:00,0.11,0.63,0,-3058.6,0,0,0.52
2020-09-22 16:00:00,0.14,-0.02,0,-5880.3,0,0,-0.16
2020-09-23 16:00:00,0.15,-0.11,0,-841.5,0,0,-0.26
2020-09-24 16:00:00,0.14,-0.76,0,-5861.7,0,0,-0.9
2020-09-25 16:00:00,0.16,-0.96,0,-1759.9,0,0,-1.12
2020-09-28 16:00:00,0.17,-0.59,3343.1,0,0,0,-0.76
2020-09-29 16:00:00,0.18,-0.56,232.1,0,0,0,-0.74
2020-09-30 16:00:00,0.24,-0.45,1013,0,0,0,-0.69
2020-10-09 16:00:00,0.25,0.02,4196.2,0,0,0,-0.23
2020-10-12 16:00:00,0.24,0.49,4246.7,0,0,0,0.25
2020-10-13 16:00:00,0.24,0.2,0,-2595.2,0,0,-0.04
2020-10-14 16:00:00,0.26,-0.02,0,-1982.2,0,0,-0.28
2020-10-15 16:00:00,0.26,-0.14,0,-1026.8,0,0,-0.4
2020-10-16 16:00:00,0.28,0.05,1644.2,0,22890.4,-17404,-0.23
2020-10-19 16:00:00,0.29,0.08,284,0,0,0,-0.21
2020-10-20 16:00:00,0.3,-0.02,0,-923,0,0,-0.32
2020-10-21 16:00:00,0.3,0.24,2364.6,0,0,0,-0.06
2020-10-22 16:00:00,0.3,0.23,0,-108.3,0,0,-0.07
2020-10-23 16:00:00,0.3,-0.1,0,-2955.4,0,0,-0.4
2020-10-26 16:00:00,0.31,-0.51,0,-3721.3,0,0,-0.82
2020-10-27 16:00:00,0.32,-0.04,4293.2,0,0,0,-0.36
2020-10-28 16:00:00,0.32,-0.23,0,-1698.4,0,0,-0.55
2020-10-29 16:00:00,0.33,-0.74,0,-4605.9,0,0,-1.07
2020-10-30 16:00:00,0.35,-0.87,0,-1144.3,0,0,-1.22
2020-11-02 16:00:00,0.38,-0.4,4212.6,0,0,0,-0.78
2020-11-03 16:00:00,0.37,0.11,4548.7,0,0,0,-0.26
2020-11-04 16:00:00,0.4,0.51,3652.2,0,0,0,0.11
2020-11-05 16:00:00,0.39,0.99,4269.5,0,0,0,0.6
2020-11-06 16:00:00,0.42,0.97,0,-143.2,0,0,0.55
2020-11-09 16:00:00,0.41,1.06,806.7,0,41506,-41760,0.65
2020-11-10 16:00:00,0.43,0.56,0,-4511.6,0,0,0.13
2020-11-11 16:00:00,0.45,1.17,5523.5,0,0,0,0.72
2020-11-12 16:00:00,0.47,1.02,0,-1386.2,0,0,0.55
2020-11-13 16:00:00,0.46,0.63,0,-3492.1,0,0,0.17
2020-11-16 16:00:00,0.44,0.23,0,-3649.3,0,0,-0.21
2020-11-17 16:00:00,0.46,0.06,0,-1515.4,0,0,-0.4
2020-11-18 16:00:00,0.46,0.1,343.7,0,0,0,-0.36
2020-11-19 16:00:00,0.46,0.2,900.7,0,0,0,-0.26
2020-11-20 16:00:00,0.47,0.19,0,-31.1,0,0,-0.28
2020-11-23 16:00:00,0.48,0.61,3767.6,0,0,0,0.13
2020-11-24 16:00:00,0.49,0.47,0,-1240.9,0,0,-0.02
2020-11-25 16:00:00,0.5,-0.04,0,-4638.6,0,0,-0.54
2020-11-26 16:00:00,0.5,0.39,3863.1,0,0,0,-0.11
2020-11-27 16:00:00,0.51,0.74,3208.8,0,0,0,0.23
2020-11-30 16:00:00,0.53,0.36,0,-3500.7,0,0,-0.17
2020-12-01 16:00:00,0.53,0.6,2236.7,0,0,0,0.07
2020-12-02 16:00:00,0.54,0.59,0,-150.8,0,0,0.05
2020-12-03 16:00:00,0.55,0.37,0,-1960.3,0,0,-0.18
2020-12-04 16:00:00,0.58,0.28,0,-806.8,0,0,-0.3
2020-12-07 16:00:00,0.58,-0.09,0,-3310.2,0,0,-0.67
2020-12-08 16:00:00,0.59,0.02,998.6,0,19404.8,-15250.4,-0.57
2020-12-09 16:00:00,0.59,-0.05,0,-663.5,0,0,-0.64
2020-12-10 16:00:00,0.59,-0.23,0,-1608.6,0,0,-0.82
2020-12-11 16:00:00,0.61,-0.48,0,-2248.9,0,0,-1.08
2020-12-14 16:00:00,0.62,-0.56,0,-722.1,0,0,-1.17
2020-12-15 16:00:00,0.63,-0.61,0,-414.6,0,0,-1.23
2020-12-16 16:00:00,0.63,-0.03,5190.9,0,0,0,-0.66
2020-12-17 16:00:00,0.61,0.17,1815.6,0,0,0,-0.44
2020-12-18 16:00:00,0.63,0.37,1791.2,0,0,0,-0.26
2020-12-21 16:00:00,0.64,0.95,5211.2,0,0,0,0.31
2020-12-22 16:00:00,0.67,0.68,0,-2447.8,0,0,0.01
2020-12-23 16:00:00,0.68,0.49,0,-1681.4,0,0,-0.19
2020-12-24 16:00:00,0.69,0.63,1225.9,0,0,0,-0.06
2020-12-25 16:00:00,0.7,1.1,4253.5,0,0,0,0.4
2020-12-28 16:00:00,0.71,1.02,0,-729.1,0,0,0.31
2020-12-29 16:00:00,0.72,0.87,0,-1338.3,0,0,0.15
2020-12-30 16:00:00,0.71,1.23,3200.3,0,0,0,0.52
2020-12-31 16:00:00,0.77,1.84,5549.7,0,0,0,1.06
2021-01-04 16:00:00,0.78,1.8,0,-375.4,0,0,1.01
2021-01-05 16:00:00,0.79,1.74,0,-551.4,0,0,0.94
2021-01-06 16:00:00,0.83,2.05,2807.3,0,0,0,1.21
2021-01-07 16:00:00,0.85,1.97,0,-759.9,0,0,1.11
2021-01-08 16:00:00,0.85,1.87,0,-872.5,0,0,1.01
2021-01-11 16:00:00,0.84,1.71,0,-1466.54,64338,-64358.2,0.86
2021-01-12 16:00:00,0.86,1.76,465.6,0,0,0,0.89
2021-01-13 16:00:00,0.84,2.68,8300.8,0,0,0,1.82
2021-01-14 16:00:00,0.84,2.52,0,-1435.4,0,0,1.67
2021-01-15 16:00:00,0.86,2.59,590.6,0,0,0,1.72
2021-01-18 16:00:00,0.87,2.21,0,-3435.6,0,0,1.33
2021-01-19 16:00:00,0.87,2.49,2559.2,0,0,0,1.61
2021-01-20 16:00:00,0.88,1.96,0,-4746.4,0,0,1.07
2021-01-21 16:00:00,0.88,2.3,3048.8,0,0,0,1.41
2021-01-22 16:00:00,0.9,1.64,0,-6005.4,0,0,0.73
2021-01-25 16:00:00,0.9,1.46,0,-1590.8,0,0,0.56
2021-01-26 16:00:00,0.91,1.29,0,-1521.8,0,0,0.38
2021-01-27 16:00:00,0.91,1.79,4503.6,0,0,0,0.87
2021-01-28 16:00:00,0.91,1.64,0,-1310,0,0,0.72
2021-01-29 16:00:00,0.94,1.53,0,-997.4,0,0,0.58
2021-02-01 16:00:00,0.95,1.47,0,-575.6,0,0,0.52
2021-02-02 16:00:00,0.96,1.36,0,-1009,0,0,0.4
2021-02-03 16:00:00,0.98,1.26,0,-857.8,0,0,0.28
2021-02-04 16:00:00,0.98,1.6,3058.2,0,0,0,0.61
2021-02-05 16:00:00,1.01,1.89,2586.4,0,0,0,0.87
2021-02-08 16:00:00,1.01,1.82,0,-581.6,26377,-23010.4,0.8
2021-02-09 16:00:00,1.03,1.83,82.9,0,0,0,0.79
2021-02-10 16:00:00,1.08,2.27,3913.5,0,0,0,1.18
2021-02-18 16:00:00,1.08,1.87,0,-3577.6,0,0,0.78
2021-02-19 16:00:00,1.09,1.81,0,-562.8,0,0,0.71
2021-02-22 16:00:00,1.1,2.07,2360.2,0,0,0,0.96
2021-02-23 16:00:00,1.12,2.49,3734.8,0,0,0,1.35
